localAuth_wardNumber	ZAPU	ZANU_PF	ZDP	MDC	MDC_T	rejected_votes	unaccounted_ballot	total_votes	total_valid_votes
9**Chitungwiza Municipality	4	844	0	32	1340	26	0	2246	2220
9**Chivi RDC	5	772	4	20	353	20	0	1174	1154
9**Gokwe North RDC	12	1281	7	43	361	59	0	1763	1704
9**Gokwe South RDC	55	2485	11	108	1007	141	0	3807	3666
9**Goromonzi RDC	5	1054	4	18	248	33	0	1362	1329
9**Guruve RDC	28	1180	2	16	154	36	0	1416	1380
9**Gutu RDC	7	872	4	54	554	22	0	1513	1491
9**Gwanda Municipality	2	199	0	58	306	4	0	569	565
9**Gwanda R.D.C	8	758	2	125	232	15	0	1140	1125
9**Gweru Municipality	5	881	3	27	1524	23	0	2463	2440
9**Harare Municipality	29	5563	5	141	6423	176	1	12337	12161
9**Hurungwe RDC	43	3898	15	96	764	193	0	5009	4816
9**Hwange Local Board	6	203	4	48	1836	22	0	2119	2097
9**Hwange RDC	2	260	5	13	314	15	0	609	594
9**Insiza RDC	25	537	6	93	277	20	0	958	938
9**Kadoma City Council	2	250	1	5	362	19	0	639	620
9**Kariba Municipality	1	331	0	4	341	10	0	687	677
9**Karoi Town Council	2	522	2	16	559	18	0	1119	1101
9**Kusile RDC	4	450	5	41	459	10	0	969	959
9**Kwekwe Municipality	3	551	1	21	518	9	0	1103	1094
9**Makonde RDC	13	2083	8	15	245	27	0	2391	2364
9**Makoni RDC	31	1812	13	30	571	120	0	2577	2457
9**Mangwe RDC	13	136	12	89	345	11	0	606	595
9**Manyame RDC	21	1837	7	38	337	23	1	2263	2240
9**Marondera Municipality	2	835	1	15	837	12	0	1702	1690
9**Marondera RDC	2	188	1	5	68	4	0	268	264
9**Masvingo Municipality	3	715	1	16	917	12	0	1664	1652
9**Masvingo RDC	16	1538	3	33	268	45	0	1903	1858
9**Matobo RDC	7	547	6	57	298	15	0	930	915
9**Mazowe RDC	10	1247	3	41	567	51	0	1919	1868
9**Mberengwa RDC	8	629	3	40	289	22	0	991	969
9**Mbire RDC	14	858	4	37	372	51	0	1336	1285
9**Mhondoro-Ngezi RDC	9	1472	3	12	280	46	0	1822	1776
9**Mudzi RDC	6	2123	1	27	137	24	0	2318	2294
9**Murewa RDC	4	969	3	18	266	22	0	1282	1260
9**Mutare Municipality	3	771	2	18	1569	17	0	2380	2363
9**Mutare RDC	18	966	5	57	518	51	0	1615	1564
9**Mutasa RDC	13	822	6	46	614	50	0	1551	1501
9**Mutoko RDC	3	1129	1	12	97	14	1	1256	1242
9**Muzarabani RDC	9	908	2	3	32	17	0	971	954
9**Mwenezi RDC	36	1932	5	23	175	84	0	2255	2171
9**Nkayi RDC	14	309	5	32	255	34	0	649	615
9**Norton Town Council	1	529	1	11	836	14	0	1392	1378
9**Nyaminyami RDC	8	742	2	19	200	28	0	999	971
9**Nyanga RDC	12	862	5	37	632	39	0	1587	1548
9**Pfura RDC	2	859	1	7	127	9	0	1005	996
9**Redcliff Municipality	0	313	0	12	500	11	0	836	825
9**Runde RDC	5	708	3	20	146	14	0	896	882
9**Rusape Town Council	0	330	0	4	450	9	0	793	784
9**Rushinga RDC	4	1066	1	3	58	37	0	1169	1132
9**Ruwa Local Board	0	479	2	14	1366	19	0	1880	1861
9**Sanyati RDC	5	550	2	11	231	15	0	814	799
9**Shurugwi Town Council	5	276	1	6	138	6	0	432	426
9**Takawira RDC	12	878	17	151	457	33	0	1548	1515
9**Tongogara RDC	7	978	4	37	520	32	0	1578	1546
9**Tsholotsho RDC	53	524	21	103	638	35	0	1374	1339
9**Umguza RDC	24	1549	3	62	288	69	0	1995	1926
9**Umzingwane RDC	8	219	6	51	217	18	0	519	501
9**Victoria Falls Municipality	13	273	1	62	639	6	0	994	988
9**Vungu RDC	3	1298	4	8	346	52	0	1711	1659
9**Wedza RDC	28	1947	2	54	522	41	0	2594	2553
9**Zaka RDC	10	1322	7	37	295	38	0	1709	1671
9**Zibagwe RDC	16	892	6	53	577	17	0	1561	1544
9**Zvataida RDC	15	2774	2	10	137	37	1	2975	2938
9**Zvimba RDC	5	984	3	26	205	14	0	1237	1223
9**Zvishavane Town Council	2	317	0	20	876	6	0	1221	1215
